outcome,category_name,sub_category_name,goal,pledged,outcome
failed,Photography,Photobooks,10000,0,failed
failed,Technology,Apps,5000,57,failed
successful,Theater,Theater,740,870,successful
successful,Music,Music,1500,1592,successful
failed,Design,"Product Design",25000,668,failed
failed,Music,"Electronic Music",10000,0,failed
successful,Comics,"Comic Books",4000,4063,successful
successful,Music,Rock,2000,2345,successful
failed,Food,Restaurants,125000,206,failed
successful,Music,Blues,2500,2500,successful
failed,Design,"Product Design",75,1,failed
successful,Journalism,Journalism,30000,75064.49,successful
failed,Art,"Performance Art",1000,5,failed
failed,Music,Rock,15750,2587.11,failed
failed,Music,Hip-Hop,600,0,failed
successful,Music,Pop,2000,2251,successful
failed,Art,"Public Art",500,61,failed
successful,Publishing,Nonfiction,9000,9170,successful
failed,Publishing,Poetry,4000,711,failed
successful,Fashion,Fashion,30000,31376,successful
failed,Music,Rock,6750,2245,failed
failed,Publishing,"Children's Books",5000,20,failed
successful,Art,"Performance Art",1500,1620,successful
failed,Food,Cookbooks,100,0,failed
failed,Food,Food,10000,1486,failed
successful,Publishing,Fiction,2200,2225,successful
failed,Games,"Video Games",400000,174010.09,failed
failed,Technology,Technology,8000,1028,failed
failed,Games,"Tabletop Games",8000,1643,failed
successful,Music,Hip-Hop,3000,4229,successful
successful,Publishing,Translations,12000,12080,successful
failed,"Film & Video","Film & Video",12000,225,failed
failed,Music,"World Music",25000,50,failed
failed,Design,"Product Design",2000,30,failed
successful,Music,Jazz,3000,3260,successful
failed,Publishing,Fiction,500,10,failed
failed,Food,"Small Batch",8000,0,failed
failed,Technology,Apps,200000,170,failed
failed,Technology,Web,210,80,failed
failed,Food,Food,20000,150,failed
failed,Theater,Experimental,600,20,failed
successful,"Film & Video",Shorts,7500,7800,successful
successful,Music,"Indie Rock",700,734.5,successful
successful,Dance,Dance,1000,1000,successful
successful,Dance,Dance,2500,2685,successful
successful,Publishing,Nonfiction,20000,26936.4,successful
failed,Publishing,Fiction,12000,0,failed
failed,Music,Music,300,0,failed
successful,Games,"Tabletop Games",88,4587,successful
failed,Games,"Mobile Games",450,0,failed
successful,"Film & Video",Shorts,5000,5001,successful
failed,Food,Farms,8700,2046,failed
successful,"Film & Video","Film & Video",5000,5316,successful
failed,"Film & Video",Documentary,19995,2751,failed
failed,Publishing,Fiction,1000,26,failed
failed,Food,Food,4500,1,failed
failed,Design,"Graphic Design",400,0,failed
failed,Fashion,Apparel,20000,0,failed
failed,"Film & Video","Narrative Film",50000,5558,failed
failed,Publishing,Poetry,1000,0,failed
successful,Design,"Graphic Design",950,2512,successful
failed,Fashion,Fashion,850,0,failed
failed,Publishing,Fiction,100,25,failed
successful,"Film & Video",Shorts,2000,4736,successful
successful,Publishing,"Art Books",10000,10538.02,successful
failed,Theater,Theater,3200,500,failed
failed,Games,"Tabletop Games",15000,3221,failed
successful,Theater,Musical,750,755,successful
failed,"Film & Video",Drama,2000,6,failed
failed,Publishing,Fiction,2500,100,failed
failed,"Film & Video",Documentary,13125,5465.02,failed
failed,Games,"Mobile Games",89000,0,failed
successful,Publishing,Fiction,1000,2556,successful
failed,Photography,Photography,15000,443.25,failed
successful,Fashion,Fashion,25000,25815,successful
successful,Crafts,DIY,440,586,successful
failed,Publishing,Fiction,100000000,3577,failed
successful,Music,Music,20000,25201,successful
failed,Publishing,Fiction,2100,5,failed
successful,Design,"Product Design",1500,2295,successful
successful,Music,Music,10000,11722,successful
successful,Technology,"Camera Equipment",25000,35987,successful
failed,Art,Art,1200,489,failed
failed,Publishing,Nonfiction,10000,0,failed
successful,"Film & Video","Film & Video",5000,5226,successful
successful,Publishing,Nonfiction,9000,10694.67,successful
failed,Technology,"DIY Electronics",100000,801,failed
failed,Music,Music,14000,0,failed
failed,Fashion,Fashion,2500,1075,failed
failed,"Film & Video","Film & Video",1000,55,failed
failed,Fashion,Accessories,770,236,failed
failed,"Film & Video",Shorts,5000,1310,failed
failed,"Film & Video",Documentary,500,66,failed
successful,Games,"Video Games",25000,31776,successful
failed,"Film & Video","Film & Video",23000,81,failed
failed,Art,Art,20000,345,failed
successful,Art,"Mixed Media",650,740,successful
successful,"Film & Video",Webseries,25000,25648,successful
successful,Art,Art,1500,1681,successful
failed,Design,"Graphic Design",45000,8141,failed
successful,Technology,Technology,20000,25751,successful
successful,Technology,Technology,18000,20142.18,successful
failed,Comics,Comics,3000,136,failed
successful,Dance,Dance,3000,3582.45,successful
failed,Publishing,Poetry,88489,0,failed
failed,Music,Hip-Hop,3000,110,failed
failed,"Film & Video",Shorts,6250,3175,failed
failed,Technology,Web,200000,0,failed
successful,Music,"Country & Folk",2000,2342,successful
successful,Food,Drinks,16000,17176.12,successful
failed,Design,"Product Design",15000,260,failed
successful,"Film & Video","Film & Video",2500,2510,successful
failed,Technology,Technology,1500,201,failed
successful,Art,"Public Art",7000,7184,successful
failed,Publishing,Nonfiction,5000,0,failed
failed,Design,"Product Design",1000,0,failed
successful,Games,"Tabletop Games",500,813,successful
failed,Design,"Product Design",75000,8567.77,failed
successful,"Film & Video",Webseries,1300,1603,successful
successful,Music,Music,3500,4080,successful
failed,Crafts,Crafts,500,120,failed
failed,Games,"Mobile Games",5000,738,failed
failed,Music,Rock,5550,260,failed
successful,Comics,Comics,9800,10652.42,successful
failed,Music,Music,1500,0,failed
successful,Food,Food,10000,22064,successful
successful,Comics,"Graphic Novels",15000,20731.33,successful
successful,Design,"Product Design",50000,424615,successful
failed,Comics,Comics,4000,241,failed
successful,Music,Rock,3500,4343,successful
failed,Fashion,Fashion,3000,25,failed
failed,Design,"Graphic Design",2200,457,failed
failed,"Film & Video",Documentary,17500,2587,failed
successful,"Film & Video","Film & Video",8500,9000,successful
successful,Technology,Gadgets,30000,61422.7,successful
failed,Games,"Video Games",4000,2879.66,failed
failed,Publishing,Nonfiction,4500,21,failed
successful,Food,"Food Trucks",2500,2500,successful
failed,Publishing,Fiction,4000,50,failed
failed,Design,"Product Design",20000,5621,failed
successful,Comics,"Comic Books",8600,14450,successful
failed,Theater,Theater,5000,0,failed
failed,Technology,Hardware,100000,37994.34,failed
failed,"Film & Video",Shorts,3360,815,failed
failed,"Film & Video","Film & Video",100000,62.66,failed
failed,Publishing,Nonfiction,3600,196,failed
failed,Fashion,Fashion,800,0,failed
successful,Art,Art,350,365,successful
failed,"Film & Video",Drama,110000,11,failed
failed,Art,"Mixed Media",6600,311,failed
successful,Music,"Country & Folk",800,1056,successful
failed,Comics,Comics,12675,6347,failed
failed,Games,"Playing Cards",3000,1323,failed
failed,Food,Events,2000,24,failed
failed,Design,"Product Design",38150,4361,failed
successful,Comics,"Comic Books",3500,4052,successful
failed,Publishing,"Children's Books",1500,21,failed
successful,Photography,Photography,4700,5656,successful
successful,Music,"World Music",5000,6190,successful
failed,Publishing,"Children's Books",850,270,failed
failed,Publishing,"Art Books",300,83,failed
failed,Photography,Photography,2600,0,failed
failed,Music,Jazz,4000,725,failed
successful,Art,"Performance Art",800,806,successful
successful,Food,"Food Trucks",5000,5260,successful
successful,"Film & Video",Shorts,1500,1525,successful
successful,Technology,Gadgets,30000,62367,successful
failed,Fashion,Fashion,1500,100,failed
failed,Journalism,Print,30000,70,failed
successful,"Film & Video",Webseries,10000,10121.73,successful
failed,Theater,Theater,30000,1010,failed
failed,Music,Rock,3100,0,failed
failed,Art,"Digital Art",25000,9,failed
successful,"Film & Video",Documentary,4000,4081,successful
failed,Fashion,Jewelry,10000,0,failed
failed,Design,"Product Design",18537,4280.66,failed
failed,"Film & Video",Documentary,4000,780,failed
failed,Publishing,Nonfiction,14250,1170,failed
failed,Comics,Comics,1500,64,failed
failed,Art,Ceramics,10000,0,failed
failed,"Film & Video",Shorts,5000,52,failed
failed,Food,Restaurants,70000,107,failed
failed,Music,Hip-Hop,10000,0,failed
failed,Theater,Theater,2500,0,failed
successful,Food,"Small Batch",500,1505,successful
failed,Crafts,Crafts,750,10,failed
successful,Food,Farms,4000,4542,successful
failed,"Film & Video",Webseries,18500,4737.99,failed
successful,Technology,Hardware,35000,883460.8,successful
failed,"Film & Video",Documentary,20000,180,failed
successful,Fashion,Apparel,15000,112476.44,successful
successful,Publishing,Publishing,3000,3015,successful
failed,Food,Farms,30000,225,failed
failed,"Film & Video",Webseries,20000,0,failed
failed,"Film & Video",Shorts,5000,0,failed
successful,Fashion,Apparel,100,4228,successful
failed,Fashion,Apparel,30000,0,failed
successful,Food,Food,1000,1438,successful
failed,Music,Rock,15000,830,failed
failed,Food,Food,55000,28109,failed
successful,Publishing,"Children's Books",5000,5275,successful
successful,Games,"Live Games",5000,7010,successful
failed,Comics,Comics,900,1,failed
failed,Food,Food,8000,868,failed
failed,Art,Art,500,10,failed
failed,Publishing,Fiction,900,135,failed
failed,"Film & Video",Shorts,3000,864,failed
successful,Photography,Photography,15000,16837,successful
successful,Comics,"Comic Books",1000,1228,successful
successful,"Film & Video","Film & Video",1000,1050,successful
successful,"Film & Video","Science Fiction",200,290,successful
successful,Music,Hip-Hop,3000,3030.06,successful
successful,Theater,Theater,7500,7957.91,successful
failed,Food,Restaurants,70000,0,failed
successful,"Film & Video","Film & Video",2500,2625,successful
successful,Art,Art,1995,2000,successful
failed,Food,Restaurants,65000,1,failed
failed,Music,"Indie Rock",5000,214,failed
failed,Art,Painting,3000,75,failed
successful,"Film & Video",Comedy,35000,36021.98,successful
failed,Fashion,Fashion,10000,0,failed
successful,"Film & Video",Shorts,5000,5400,successful
failed,Design,"Product Design",60000,100,failed
successful,Art,Painting,500,520,successful
failed,Comics,Comics,5000,5,failed
successful,Design,"Product Design",15000,41656,successful
successful,Publishing,Nonfiction,1500,2562,successful
failed,Music,"Indie Rock",5000,105,failed
failed,Theater,Musical,24000,11,failed
failed,Games,"Tabletop Games",250000,0,failed
failed,"Film & Video",Shorts,3600,265,failed
successful,Music,"Classical Music",7700,8255,successful
successful,"Film & Video",Shorts,2650,2850,successful
failed,Design,"Graphic Design",100000,0,failed
failed,Fashion,Fashion,25500,45,failed
successful,Publishing,Nonfiction,2000,2506,successful
failed,Publishing,Nonfiction,100,0,failed
successful,Technology,"Fabrication Tools",12000,14057,successful
failed,Publishing,Publishing,2500,25,failed
successful,Publishing,Nonfiction,2000,4208,successful
failed,Crafts,Candles,150,0,failed
successful,Food,Food,5000,5387,successful
failed,"Film & Video",Documentary,15000,7336,failed
successful,Art,"Performance Art",9000,9527,successful
successful,Fashion,Fashion,10000,10178,successful
successful,"Film & Video",Shorts,2000,2207,successful
successful,Music,"Classical Music",2500,3405,successful
failed,"Film & Video",Documentary,68000,6172,failed
successful,Technology,Makerspaces,5000,5145,successful
successful,Comics,Comics,9000,9228.66,successful
failed,Crafts,Crafts,350,146,failed
failed,Technology,Web,1000,0,failed
successful,Games,"Tabletop Games",6500,8076,successful
failed,Music,"Electronic Music",1200,0,failed
failed,Photography,Photography,3500,740.58,failed
failed,Fashion,Fashion,42000,640.5,failed
failed,Art,Illustration,500,41,failed
failed,Photography,Photography,25000,1,failed
successful,Publishing,Fiction,1000,1214,successful
failed,Design,"Product Design",10000,60,failed
successful,Theater,Festivals,10100,10406,successful
failed,Technology,Technology,55000,1,failed
failed,Technology,Hardware,30000,2276,failed
failed,Crafts,DIY,450,0,failed
successful,Photography,Photography,10000,10795,successful
failed,Design,"Product Design",150000,15,failed
failed,Publishing,Fiction,2000,0,failed
failed,Art,"Performance Art",25000,1250,failed
failed,Food,Food,1200,121,failed
successful,Fashion,Fashion,5000,5475,successful
failed,Design,"Product Design",15000,2155,failed
failed,Technology,Hardware,1000,2,failed
failed,Design,"Product Design",13000,1072,failed
successful,Fashion,Apparel,5000,5155,successful
failed,"Film & Video",Webseries,25000,0,failed
successful,Music,Music,1000,1000,successful
failed,"Film & Video",Documentary,3500,50,failed
failed,"Film & Video","Film & Video",55000,1885,failed
successful,Dance,Dance,5000,5275,successful
failed,Technology,Web,2500,0,failed
failed,Crafts,Crafts,5999,136,failed
successful,Design,"Civic Design",15000,19770,successful
failed,Music,Rock,4000,225,failed
successful,Music,"Indie Rock",1000,1657,successful
failed,"Film & Video",Shorts,5000,1552,failed
successful,Music,Jazz,5000,5150,successful
failed,Publishing,Nonfiction,20000,51,failed
failed,Publishing,"Children's Books",26500,1617,failed
failed,Crafts,Crafts,13100,240,failed
failed,"Film & Video",Shorts,12100,155,failed
successful,Art,Sculpture,650,930,successful
failed,Games,"Video Games",1000,91,failed
failed,Food,Restaurants,250000,0,failed
failed,Art,Art,50000,8593,failed
failed,Games,"Live Games",200000,374.83,failed
successful,Food,Drinks,15000,15195,successful
failed,Photography,Nature,100000,1,failed
successful,Crafts,DIY,700,1455,successful
successful,Dance,Dance,20000,20535.2,successful
failed,Photography,Photography,2800,95,failed
successful,Journalism,Journalism,1800,1826,successful
failed,Food,"Food Trucks",6000,0,failed
failed,Fashion,Fashion,4000,0,failed
successful,Art,Painting,6000,9355,successful
successful,Art,Art,600,2287,successful
failed,Theater,Theater,12500,1123.45,failed
successful,Art,"Public Art",4500,25805.85,successful
failed,"Film & Video",Documentary,37000,0,failed
successful,Photography,Photography,5000,6089,successful
failed,Music,"Electronic Music",1000,5,failed
failed,Food,"Farmer's Markets",5000,6,failed
successful,Food,Food,7500,8041,successful
failed,Design,"Product Design",5000,200,failed
successful,"Film & Video",Animation,500,1327,successful
successful,Comics,Comics,10000,11507,successful
successful,Games,"Tabletop Games",2000,14851,successful
successful,Publishing,"Children's Books",8000,8354,successful
failed,Music,Blues,5000,148,failed
failed,Publishing,Nonfiction,2000,0,failed
successful,"Film & Video",Shorts,2000,2046.13,successful
failed,Theater,Plays,1500,795,failed
successful,Games,"Tabletop Games",1000,1135,successful
successful,"Film & Video",Shorts,24750,25025,successful
successful,Fashion,Apparel,400,954,successful
failed,Music,Music,5000,33,failed
failed,Comics,Comics,300,0,failed
successful,Games,"Tabletop Games",500,901,successful
successful,Music,Music,12000,12497,successful
successful,"Film & Video","Science Fiction",10000,10375,successful
successful,Games,"Tabletop Games",10000,28490.42,successful
failed,Publishing,Nonfiction,500,146,failed
failed,Publishing,Nonfiction,6500,475,failed
failed,Crafts,Crafts,8000,10,failed
failed,Theater,Theater,10000,3725.37,failed
successful,Music,"Electronic Music",500,520,successful
failed,"Film & Video",Documentary,5000,1,failed
successful,Dance,Dance,1200,1200,successful
failed,Photography,Photography,4000,1,failed
failed,Publishing,"Children's Books",1300,80,failed
failed,Music,Pop,10000,0,failed
successful,Publishing,Poetry,2000,2819,successful
failed,Comics,Comics,7500,3180.51,failed
failed,Music,Music,5000,0,failed
failed,"Film & Video",Shorts,12000,1602.71,failed
successful,Theater,Theater,1500,1670,successful
failed,Technology,Web,8000,898,failed
failed,Design,Architecture,15000,3,failed
failed,Photography,Photography,5000,25,failed
successful,Music,Music,12000,14472.18,successful
successful,Fashion,Apparel,15000,18979,successful
successful,Food,Drinks,7500,7940.5,successful
failed,Food,Farms,30000,0,failed
successful,Technology,Technology,300,305.01,successful
successful,Fashion,Fashion,150,646,successful
successful,"Film & Video","Film & Video",27500,30806.06,successful
successful,Music,Rock,2400,2696,successful
failed,Technology,Apps,5500,584,failed
successful,Music,Rock,3000,3436,successful
successful,Comics,Comics,3000,5436,successful
failed,"Film & Video",Thrillers,250000,0,failed
failed,Fashion,Fashion,5000,41,failed
successful,Music,Music,3000,4590,successful
failed,Fashion,Footwear,30000,0,failed
failed,Technology,Apps,275000,2,failed
successful,Music,Music,5500,6758,successful
failed,Art,Illustration,2500,534,failed
successful,Fashion,Childrenswear,20000,21011,successful
failed,Comics,Comics,6000,1950,failed
successful,Music,"Classical Music",2000,2778,successful
successful,Music,Rock,1500,1561,successful
successful,Design,"Product Design",10000,16602,successful
successful,Music,Rock,300,320,successful
failed,Fashion,Fashion,10000,360,failed
failed,Technology,Software,25000,0,failed
failed,Art,"Performance Art",2500,201,failed
failed,Art,Sculpture,3800,241,failed
successful,Art,Art,3500,3520.92,successful
successful,Music,Music,10000,11720,successful
successful,"Film & Video",Webseries,2475,2605,successful
failed,Games,"Video Games",3000,78,failed
failed,Publishing,Translations,4000,0,failed
failed,Technology,Apps,75000,2645,failed
successful,Music,Rock,2000,2436,successful
failed,Publishing,Fiction,10000,0,failed
successful,Publishing,Nonfiction,2000,2101,successful
successful,Art,Painting,6000,6280,successful
failed,Food,Food,3750,412,failed
failed,Food,Food,250000,0,failed
failed,Art,Art,7000,105,failed
failed,Art,Sculpture,5000,0,failed
successful,"Film & Video","Film & Video",5200,5599,successful
successful,Crafts,Pottery,800,882,successful
successful,Comics,Comics,300,376,successful
failed,Games,"Tabletop Games",15000,2480,failed
failed,Art,"Video Art",48000,0,failed
failed,Art,Art,1300,631,failed
failed,Music,Hip-Hop,20000,0,failed
failed,Games,"Tabletop Games",22000,13066,failed
failed,Music,"Electronic Music",900,5,failed
successful,Music,Music,8000,8424.5,successful
successful,Art,"Mixed Media",6000,6031,successful
successful,Food,Drinks,20000,23001,successful
successful,Music,"Indie Rock",1000,1300.98,successful
successful,"Film & Video",Comedy,12000,12242,successful
successful,Fashion,Accessories,12000,16926,successful
successful,"Film & Video",Webseries,800,903,successful
failed,Design,Design,100000,3239,failed
failed,Games,"Video Games",5000,0,failed
failed,Fashion,Accessories,100,40,failed
successful,Games,"Playing Cards",100,12701,successful
failed,Music,Hip-Hop,400,1,failed
failed,"Film & Video",Documentary,8000,131,failed
failed,"Film & Video",Documentary,110000,935,failed
successful,Music,Faith,1500,1540,successful
failed,Dance,Performances,3000,130,failed
successful,Music,Music,500,502,successful
successful,Art,"Public Art",15000,15424.25,successful
failed,Publishing,Nonfiction,100,2,failed
failed,Publishing,Fiction,10000,95,failed
successful,Music,Jazz,500,780,successful
successful,Theater,Musical,4000,4409.77,successful
successful,"Film & Video",Documentary,12000,12695,successful
failed,Design,Design,5000,1032,failed
successful,"Film & Video",Thrillers,25000,25269.61,successful
successful,Comics,"Comic Books",1000,1016,successful
failed,Music,Hip-Hop,3000,125,failed
successful,Art,"Public Art",10000,10903.17,successful
failed,Music,Rock,1500,20,failed
successful,Music,"Country & Folk",3700,4240,successful
successful,Design,"Product Design",15000,132023.5,successful
failed,Publishing,Fiction,3000,520,failed
failed,Food,"Food Trucks",30000,2,failed
failed,Food,Food,2000,51,failed
failed,Publishing,Publishing,5000,0,failed
failed,Publishing,Fiction,6000,0,failed
successful,Design,Architecture,2500,2557.01,successful
failed,"Film & Video",Documentary,27000,7310,failed
successful,"Film & Video",Shorts,2600,2697,successful
successful,Design,"Product Design",10000,40905.35,successful
successful,Art,Illustration,3000,32000,successful
failed,Publishing,Publishing,12500,1,failed
successful,Music,Music,10000,11040,successful
failed,Theater,Theater,499999,10135,failed
failed,Fashion,Fashion,800,162,failed
failed,"Film & Video",Animation,3000,70,failed
failed,Music,"Country & Folk",5000,140,failed
failed,Design,"Product Design",15000,1336,failed
failed,Games,"Video Games",5000,210,failed
failed,"Film & Video",Documentary,50000,3875,failed
failed,Food,Food,10000,0,failed
successful,Fashion,Fashion,4000,4019,successful
failed,Publishing,Poetry,2000,316,failed
successful,Art,Installations,60000,116270,successful
successful,Comics,Comics,10000,16595,successful
failed,Technology,Software,3500,126,failed
failed,Technology,Apps,5000,1,failed
failed,Technology,Web,85000,142,failed
failed,"Film & Video",Documentary,100,5,failed
successful,Games,"Tabletop Games",2500,11305,successful
failed,Fashion,Fashion,23000,1,failed
failed,Fashion,Accessories,2000,160,failed
failed,Crafts,Embroidery,8000,1,failed
failed,"Film & Video","Film & Video",12000,0,failed
successful,Music,"Country & Folk",1000,1170,successful
failed,"Film & Video",Action,2750,5,failed
failed,Games,"Tabletop Games",7000,237,failed
failed,Games,"Playing Cards",2000,1656,failed
failed,Technology,Apps,275000,1,failed
failed,Art,"Performance Art",4000,720,failed
failed,Food,Restaurants,2700,51,failed
failed,"Film & Video",Shorts,88000,500,failed
failed,Fashion,Apparel,4500,2,failed
failed,Publishing,Publishing,1500,57,failed
successful,"Film & Video",Shorts,10000,17000,successful
successful,Games,"Tabletop Games",3000,3327,successful
failed,Publishing,Nonfiction,700,0,failed
failed,Food,Food,10000,1630,failed
successful,Design,"Product Design",20000,203188,successful
failed,Food,"Farmer's Markets",1000,0,failed
failed,Theater,Plays,700,0,failed
successful,Theater,Theater,5000,5025.5,successful
successful,Publishing,Fiction,5000,6003.4,successful
failed,"Film & Video",Thrillers,85000,0,failed
successful,Art,Art,3000,3375,successful
failed,Food,"Small Batch",25000,5138,failed
successful,Publishing,"Art Books",2230,3050,successful
successful,Games,"Video Games",770,946,successful
failed,Food,Food,5000,0,failed
failed,Art,Installations,15000,262,failed
successful,Games,Games,2500,3230,successful
failed,Comics,Comics,5000,22,failed
successful,Fashion,Fashion,3500,5522,successful
failed,"Film & Video",Shorts,10000,860,failed
successful,"Film & Video",Documentary,3000,3345,successful
successful,"Film & Video",Documentary,12000,12307,successful
failed,Crafts,DIY,9750,0,failed
successful,"Film & Video",Shorts,1000,1307,successful
successful,Music,"Indie Rock",3000,3076,successful
failed,"Film & Video","Movie Theaters",5000000,0,failed
failed,Food,Food,3750,2318,failed
failed,Music,Music,7500,255,failed
failed,Art,"Public Art",25000,1,failed
failed,Publishing,Poetry,2000,1,failed
failed,Games,"Video Games",600000,225382.99,failed
successful,Design,"Product Design",50000,172301.53,successful
successful,Crafts,Printing,1000,1715,successful
failed,Art,"Performance Art",5000,23,failed
failed,Comics,"Comic Books",1500,114,failed
failed,Design,"Product Design",29000,8995,failed
failed,Design,"Product Design",100000,3187,failed
successful,Food,Restaurants,5000,6172.61,successful
failed,"Film & Video",Documentary,2500,1156,failed
failed,"Film & Video",Shorts,10500,125,failed
failed,Comics,Comics,2500,744,failed
successful,Publishing,Periodicals,20000,22928.77,successful
successful,Art,"Performance Art",6500,7560,successful
successful,Comics,"Comic Books",1500,2101,successful
successful,Art,"Performance Art",3600,4102,successful
failed,Technology,Gadgets,6500,2022,failed
successful,"Film & Video",Webseries,10000,10609,successful
successful,Music,Music,9500,9638,successful
failed,"Film & Video",Shorts,30000,835,failed
successful,Photography,"Fine Art",18000,19880,successful
failed,Food,Food,30000,0,failed
successful,"Film & Video",Shorts,500,575,successful
failed,Games,"Tabletop Games",45000,2363,failed
successful,Theater,Theater,68000,70442,successful
successful,Music,Pop,3000,3900,successful
failed,Crafts,Crafts,100000,50,failed
successful,Crafts,Letterpress,10000,12675.21,successful
successful,Games,"Tabletop Games",1650,25206,successful
successful,Publishing,Fiction,2120,2427.88,successful
failed,Publishing,Publishing,5000,1415,failed
successful,Photography,Photography,10000,11567,successful
failed,Publishing,Nonfiction,10000,1580,failed
successful,Publishing,"Art Books",14000,23141.5,successful
failed,Food,Food,5000,1236,failed
failed,"Film & Video",Comedy,50000,25,failed
failed,Crafts,Crafts,15000,0,failed
successful,Theater,Theater,4000,4820,successful
successful,Fashion,Accessories,500,3143,successful
successful,Games,"Tabletop Games",15000,44873,successful
failed,"Film & Video",Documentary,20000,7630,failed
failed,Games,"Video Games",1000,2,failed
successful,Art,Art,25000,27238,successful
successful,Music,Rock,1500,1849.69,successful
successful,Food,Events,500,846,successful
failed,Crafts,Glass,650,25,failed
failed,Games,Games,90000,61,failed
successful,Music,"Indie Rock",3500,3805,successful
failed,Technology,Technology,60000,36,failed
failed,Technology,"3D Printing",700,40,failed
successful,"Film & Video",Fantasy,40000,52837,successful
failed,Music,Hip-Hop,2000,0,failed
failed,Art,Painting,5000,0,failed
failed,"Film & Video",Documentary,40000,6,failed
successful,Music,"Indie Rock",4000,8105,successful
failed,"Film & Video",Animation,75000,1205,failed
failed,Publishing,Fiction,3750,115,failed
failed,Music,Music,2000,220,failed
failed,Theater,Experimental,50,0,failed
successful,"Film & Video",Shorts,800,3011.69,successful
successful,"Film & Video","Narrative Film",20000,21390,successful
successful,Publishing,Publishing,4000,4179,successful
successful,Art,"Public Art",10000,10724.54,successful
successful,Music,Punk,200,301,successful
successful,Publishing,Periodicals,7000,10802,successful
successful,"Film & Video",Documentary,35000,36082,successful
failed,Publishing,"Children's Books",4450,0,failed
successful,Art,Art,200,286,successful
failed,Food,Food,5400,0,failed
failed,Music,Hip-Hop,2800,65,failed
failed,Music,Music,1200,35,failed
failed,Crafts,Crafts,150,2,failed
failed,"Film & Video",Webseries,6000,395,failed
failed,Food,Farms,750,0,failed
successful,Games,Games,1000,7854.66,successful
successful,Music,Music,3750,4116,successful
failed,Publishing,"Art Books",20000,224,failed
successful,Games,"Playing Cards",7500,26893,successful
successful,Music,Music,500,770.89,successful
failed,Comics,"Comic Books",2000,62,failed
successful,Publishing,"Children's Books",10000,10174.59,successful
failed,"Film & Video",Webseries,25000,0,failed
failed,Technology,"DIY Electronics",5000,25,failed
failed,Publishing,Academic,200000,9010,failed
successful,Publishing,"Children's Books",4600,6634,successful
failed,Games,"Tabletop Games",16000,6023,failed
failed,Games,"Video Games",3000,912,failed
successful,Music,Rock,2000,2805,successful
failed,Fashion,Apparel,2000,0,failed
failed,Games,"Video Games",16384,4068.99,failed
failed,"Film & Video",Documentary,7000,0,failed
failed,Publishing,Fiction,12000,2287,failed
failed,Technology,Software,15000,0,failed
failed,"Film & Video",Documentary,1000,1,failed
successful,Crafts,Crafts,250,5476,successful
failed,Art,"Performance Art",12000,1057,failed
failed,Food,Food,5000,105,failed
